15.53,SourceIntensityB,,SourceIntensityV,,Bmag,Vmag
,146.786,,699.298,,21.28589105,20.21957029
,1040.99,,3737.53,,19.15898625,18.39976429
,528.191,,1948.81,,19.89562515,19.10680226
,1134.35,,4060.5,,19.06573495,18.30977722
,107.005,,635.552,,21.62909246,20.32334828
,136.92,,585.49,,21.36143541,20.4124273
,1214.76,,4360.72,,18.99137643,18.2323305
,59657.1,,401366,,14.7634473,13.32237456
,389.305,,1569.99,,20.22687769,19.34148379
,38.0796,,331.402,,22.7508717,21.0303382
,18522.6,,38277.5,,16.03334777,15.8738671
,1113.76,,3667.33,,19.0856236,18.42035103
,389.012,,1598.25,,20.22769514,19.32211423
,1260.41,,4495.84,,18.95132304,18.19919889
,1901.18,,5801.62,,18.50504455,17.92235281
,695.394,,2487.56,,19.59702529,18.8417921
,71.8876,,454.399,,22.06096768,20.68763259
,59657.1,,401331,,14.7634473,13.32246924
,2134.16,,9670.03,,18.3795352,17.36765645
,66136.1,,486048,,14.65150619,13.11452811
,1167.37,,4043.12,,19.03458132,18.31443443
,35145.1,,198368,,15.33794068,14.08754697
,448.871,,1770.01,,20.07229877,19.21128671
,4530.33,,3454.72,,17.56227805,18.48519387
,1102.16,,3743.95,,19.09699103,18.39790091
,1168.74,,4134.07,,19.03330787,18.29028144
,1375.77,,4992.4,,18.85623805,18.08545257
,73.5186,,619.824,,22.03660957,20.35055504
,1842.52,,6827.81,,18.53907211,17.74552244
,1841.81,,6832.15,,18.53949057,17.74483253
,1102.76,,3774.66,,19.09640013,18.38903141
,951.273,,3320.74,,19.25683972,18.52813882
,73.6478,,589.05,,22.0347032,20.40584561
,167.617,,599.842,,21.14180748,20.38613383
,4167.66,,19027.7,,17.65287194,16.63276027
,18557.7,,38173.2,,16.03129227,15.87682959
,2079.57,,9095.82,,18.40766878,17.43412136
,614.934,,2230.06,,19.73053138,18.96043464
,95.7434,,411.205,,21.74983053,20.79608004
,3050.92,,14144.3,,17.99152559,16.95477236
,1961.75,,7791.49,,18.47099349,17.60217471
,1132.24,,4206.37,,19.06775641,18.27145733
,414.229,,1898.04,,20.15950139,19.13546261
,208.161,,782.315,,20.90660423,20.09777186
,4705.17,,15459,,17.52116434,16.85827252
,4705.17,,15459,,17.52116434,16.85827252
,50888.1,,322975,,14.93606205,13.55830374
,2079.57,,9095.01,,18.40766878,17.43421806
